feature,importance,experiment_name,timestamp
Age_Diff,0.19772230166103985,baseline,20241109_205034
Reach_Diff,0.11855373287098164,baseline,20241109_205034
Weight_Diff,0.06193242485719588,baseline,20241109_205034
Height_Diff,0.06068162603760285,baseline,20241109_205034
Fighter_A_wins,0.06035043196999206,baseline,20241109_205034
Fighter_A_fights,0.059148322076314555,baseline,20241109_205034
Fighter_B_fights,0.05597282322600153,baseline,20241109_205034
Fighter_B_wins,0.05232758276297075,baseline,20241109_205034
Fighter_A_losses,0.0481499917717309,baseline,20241109_205034
Fighter_A_current_win_streak,0.04495734109224796,baseline,20241109_205034
Fighter_B_losses,0.04308484575009858,baseline,20241109_205034
Fighter_B_current_win_streak,0.042001236549682505,baseline,20241109_205034
STANCE_B,0.022369910389762198,baseline,20241109_205034
STANCE_A,0.019926154178872543,baseline,20241109_205034
Weight_Class_Heavyweight,0.013188265849894354,baseline,20241109_205034
Weight_Class_Lightweight,0.01195078397521086,baseline,20241109_205034
Weight_Class_Welterweight,0.010784711208906941,baseline,20241109_205034
Weight_Class_Middleweight,0.010764116710257116,baseline,20241109_205034
Weight_Class_Open Weight,0.010148551797746406,baseline,20241109_205034
Weight_Class_Women's Strawweight,0.009701244211383145,baseline,20241109_205034
Weight_Class_Bantamweight,0.009036674403782405,baseline,20241109_205034
Weight_Class_Light Heavyweight,0.008556781963489779,baseline,20241109_205034
Weight_Class_Featherweight,0.007825521068920952,baseline,20241109_205034
Weight_Class_Flyweight,0.007279300762856698,baseline,20241109_205034
Weight_Class_Women's Flyweight,0.005335523880908193,baseline,20241109_205034
Weight_Class_Women's Bantamweight,0.00463762090021111,baseline,20241109_205034
Weight_Class_Catch Weight,0.0030244370088963806,baseline,20241109_205034
Weight_Class_Women's Featherweight,0.0005389200154003262,baseline,20241109_205034
Weight_Class_Super Heavyweight,4.8821047641659056e-05,baseline,20241109_205034
Age_Diff,0.18527156013014148,baseline_extended_features,20241110_124431
Reach_Diff,0.10720010706327748,baseline_extended_features,20241110_124431
Height_Diff,0.05537222825518669,baseline_extended_features,20241110_124431
Weight_Diff,0.055133733340912955,baseline_extended_features,20241110_124431
Fighter_A_fights,0.049044573393035994,baseline_extended_features,20241110_124431
Fighter_B_fights,0.04798933835444597,baseline_extended_features,20241110_124431
Fighter_A_wins,0.047888262921601886,baseline_extended_features,20241110_124431
Fighter_B_wins,0.04281329671501893,baseline_extended_features,20241110_124431
Fighter_A_longest_win_streak,0.04119959875586309,baseline_extended_features,20241110_124431
Fighter_B_longest_win_streak,0.03736824453168316,baseline_extended_features,20241110_124431
Fighter_B_losses,0.037084981754549336,baseline_extended_features,20241110_124431
Fighter_A_losses,0.035286893328988995,baseline_extended_features,20241110_124431
Fighter_B_current_win_streak,0.03399630984572475,baseline_extended_features,20241110_124431
Fighter_A_current_win_streak,0.03357394124693089,baseline_extended_features,20241110_124431
Fighter_A_longest_loss_streak,0.02670255695485131,baseline_extended_features,20241110_124431
Fighter_B_longest_loss_streak,0.025408443389525987,baseline_extended_features,20241110_124431
STANCE_B,0.019174823459389305,baseline_extended_features,20241110_124431
STANCE_A,0.017478295148762382,baseline_extended_features,20241110_124431
Weight_Class_Heavyweight,0.012115217942529632,baseline_extended_features,20241110_124431
Weight_Class_Lightweight,0.011848382637616036,baseline_extended_features,20241110_124431
Weight_Class_Welterweight,0.010284656611810732,baseline_extended_features,20241110_124431
Weight_Class_Middleweight,0.009789127031802755,baseline_extended_features,20241110_124431
Weight_Class_Bantamweight,0.008489605738513708,baseline_extended_features,20241110_124431
Weight_Class_Women's Strawweight,0.007821055535191392,baseline_extended_features,20241110_124431
Weight_Class_Light Heavyweight,0.007735007104581768,baseline_extended_features,20241110_124431
Weight_Class_Open Weight,0.007520612181016026,baseline_extended_features,20241110_124431
Weight_Class_Featherweight,0.0074141205569887925,baseline_extended_features,20241110_124431
Weight_Class_Flyweight,0.006560711156072313,baseline_extended_features,20241110_124431
Weight_Class_Women's Flyweight,0.004918871086533081,baseline_extended_features,20241110_124431
Weight_Class_Women's Bantamweight,0.004238257891224713,baseline_extended_features,20241110_124431
Weight_Class_Catch Weight,0.0024723872989058857,baseline_extended_features,20241110_124431
Weight_Class_Women's Featherweight,0.0007745952182813373,baseline_extended_features,20241110_124431
Weight_Class_Super Heavyweight,3.0203419041311066e-05,baseline_extended_features,20241110_124431
Reach_Diff,0.20241032731150368,physical_and_streaks,20241110_124431
Weight_Diff,0.08811631357594076,physical_and_streaks,20241110_124431
Height_Diff,0.07970612525050938,physical_and_streaks,20241110_124431
Fighter_A_wins,0.07670561580421754,physical_and_streaks,20241110_124431
Fighter_B_wins,0.07370125641529784,physical_and_streaks,20241110_124431
Fighter_A_current_win_streak,0.062313556448877,physical_and_streaks,20241110_124431
Fighter_B_current_win_streak,0.06167169105322369,physical_and_streaks,20241110_124431
