Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time,event_id,Time_seconds,Name_A,Height_A,Weight_A,Reach_A,Stance_A,Fighter_A_id,DOB_A,Name_B,Height_B,Weight_B,Reach_B,Stance_B,Fighter_B_id,DOB_B
2022-09-03,"Paris, Ile-de-France, France",win,Ciryl Gane,Tai Tuivasa,1.0,1.0,110.0,29.0,0.0,0.0,0.0,0,Heavyweight,KO/TKO,Punches,3,4:23,00a905a4a4a2b071,263,Ciryl Gane,193.04,111.13004,205.74,Orthodox,787bb1f087ccff8a,1990-04-12,Tai Tuivasa,187.96,119.748288,190.5,Southpaw,c62fbc117d57b943,1993-03-16
2022-09-03,"Paris, Ile-de-France, France",win,Robert Whittaker,Marvin Vettori,0.0,0.0,74.0,33.0,1.0,0.0,0.0,0,Middleweight,U-DEC,,3,5:00,00a905a4a4a2b071,300,Robert Whittaker,182.88,83.91452,185.42,Orthodox,e1147d3d2dabe1ce,1990-12-20,Marvin Vettori,182.88,83.91452,187.96,Southpaw,7acbb0972e75281a,1993-09-20
2022-09-03,"Paris, Ile-de-France, France",win,Nassourdine Imavov,Joaquin Buckley,0.0,0.0,51.0,46.0,2.0,0.0,2.0,0,Middleweight,U-DEC,,3,5:00,00a905a4a4a2b071,300,Nassourdine Imavov,190.5,83.91452,190.5,Orthodox,881bf86d4cba8578,1995-03-01,Joaquin Buckley,177.8,77.11064,193.04,Southpaw,b9437600497350f3,1994-04-27
2022-09-03,"Paris, Ile-de-France, France",win,Roman Kopylov,Alessio Di Chirico,1.0,0.0,59.0,39.0,0.0,0.0,0.0,0,Middleweight,KO/TKO,Punches,3,1:09,00a905a4a4a2b071,69,Roman Kopylov,182.88,83.91452,190.5,Southpaw,9d83f6da776ff7d6,1991-05-04,Alessio Di Chirico,182.88,83.91452,187.96,Orthodox,77d7295d1b22c694,1989-12-12
2022-09-03,"Paris, Ile-de-France, France",win,William Gomis,Jarno Errens,0.0,0.0,32.0,20.0,3.0,0.0,0.0,1,Featherweight,U-DEC,,3,5:00,00a905a4a4a2b071,300,William Gomis,182.88,65.77083999999999,185.42,Southpaw,e1d40e8782d80bc2,1997-06-13,Jarno Errens,180.34,65.77083999999999,185.42,Orthodox,082eba4cd80f736f,1994-11-17
2022-09-03,"Paris, Ile-de-France, France",win,Nathaniel Wood,Charles Jourdain,0.0,0.0,97.0,86.0,5.0,1.0,0.0,0,Featherweight,U-DEC,,3,5:00,00a905a4a4a2b071,300,Nathaniel Wood,167.64,65.77083999999999,175.26,Orthodox,329e403448756217,1993-05-08,Charles Jourdain,175.26,61.23492,175.26,Switch,f1d64ae34e088832,1995-11-27
2022-09-03,"Paris, Ile-de-France, France",win,Abus Magomedov,Dustin Stoltzfus,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0,Middleweight,KO/TKO,Punches,1,0:19,00a905a4a4a2b071,19,Abus Magomedov,187.96,83.91452,198.12,Orthodox,36b8f265bcd1b7a4,1990-09-02,Dustin Stoltzfus,182.88,83.91452,190.5,Orthodox,71505842fb6455c3,1991-11-15
2022-09-03,"Paris, Ile-de-France, France",win,Nasrat Haqparast,John Makdessi,1.0,0.0,64.0,73.0,2.0,0.0,0.0,0,Lightweight,U-DEC,,3,5:00,00a905a4a4a2b071,300,Nasrat Haqparast,177.8,70.30676,182.88,Southpaw,b7b84ccd221be298,1995-08-22,John Makdessi,172.72,70.30676,172.72,Orthodox,c21a036b4e012f1c,1985-05-03
2022-09-03,"Paris, Ile-de-France, France",win,Fares Ziam,Michal Figlak,0.0,0.0,60.0,28.0,3.0,1.0,0.0,0,Lightweight,U-DEC,,3,5:00,00a905a4a4a2b071,300,Fares Ziam,185.42,70.30676,190.5,Orthodox,1e4f273069fb9e85,1997-03-21,Michal Figlak,177.8,70.30676,177.8,Orthodox,b4c57a8c2b773e82,1996-08-15
2022-09-03,"Paris, Ile-de-France, France",win,Benoit Saint Denis,Gabriel Miranda,3.0,0.0,42.0,20.0,1.0,1.0,0.0,0,Lightweight,KO/TKO,Punch,2,0:16,00a905a4a4a2b071,16,Benoit Saint Denis,180.34,70.30676,185.42,Southpaw,c2299ec916bc7c56,1995-12-18,Gabriel Miranda,180.34,65.77083999999999,180.34,Orthodox,b909a9a9688b5284,1990-03-25
