Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time,event_id,Time_seconds,Name_A,Height_A,Weight_A,Reach_A,Stance_A,Fighter_A_id,DOB_A,Name_B,Height_B,Weight_B,Reach_B,Stance_B,Fighter_B_id,DOB_B
2022-09-03,"Paris, Ile-de-France, France",win,Cristian Quinonez,Khalid Taha,0.0,0.0,19.0,6.0,0.0,0.0,0.0,0,Bantamweight,KO/TKO,Punches,1,3:15,00a905a4a4a2b071,195,Cristian Quinonez,172.72,61.23492,177.8,Orthodox,7debc13b36343605,1996-04-26,Khalid Taha,165.1,61.23492,175.26,Orthodox,b4537562f88ac582,1992-02-15
2022-09-03,"Paris, Ile-de-France, France",win,Stephanie Egger,Ailin Perez,0.0,0.0,15.0,16.0,2.0,1.0,1.0,0,Women's Featherweight,SUB,Rear Naked Choke,2,4:54,00a905a4a4a2b071,294,Stephanie Egger,167.64,61.23492,172.72,Orthodox,5e6294b37bbef029,1988-08-12,Ailin Perez,165.1,61.23492,167.64,Switch,06e4245d16fc5315,1994-10-05
2024-01-13,"Las Vegas, Nevada, USA",win,Magomed Ankalaev,Johnny Walker,1.0,0.0,39.0,24.0,0.0,0.0,0.0,0,Light Heavyweight,KO/TKO,Punch,2,2:42,010986ee359fb863,162,Magomed Ankalaev,190.5,92.98636,190.5,Orthodox,d802174b0c0c1f4e,1992-06-02,Johnny Walker,198.12,92.98636,208.28,Orthodox,c21f26bbde777573,1992-03-30
2024-01-13,"Las Vegas, Nevada, USA",win,Jim Miller,Gabriel Benitez,0.0,0.0,80.0,80.0,2.0,0.0,1.0,0,Lightweight,SUB,Neck Crank,3,3:25,010986ee359fb863,205,Jim Miller,172.72,70.30676,180.34,Southpaw,d1941565abf50b16,1983-08-30,Gabriel Benitez,172.72,70.30676,180.34,Southpaw,436f970c9ea9169c,1988-06-15
2024-01-13,"Las Vegas, Nevada, USA",win,Mario Bautista,Ricky Simon,0.0,0.0,112.0,45.0,0.0,2.0,0.0,0,Bantamweight,U-DEC,,3,5:00,010986ee359fb863,300,Mario Bautista,175.26,61.23492,175.26,Switch,bc711b6dd95c1af6,1993-07-01,Ricky Simon,167.64,61.23492,175.26,Orthodox,5987b2458f4b5290,1992-08-31
2024-01-13,"Las Vegas, Nevada, USA",win,Brunno Ferreira,Phil Hawes,1.0,0.0,19.0,13.0,1.0,0.0,0.0,0,Middleweight,KO/TKO,Punch,1,4:55,010986ee359fb863,295,Brunno Ferreira,177.8,83.91452,182.88,Orthodox,1e719d4b676dc19a,1992-11-04,Phil Hawes,182.88,83.91452,195.58,Orthodox,547afe1017e72dbe,1989-01-08
2024-01-13,"Las Vegas, Nevada, USA",win,Waldo Cortes-Acosta,Andrei Arlovski,0.0,0.0,49.0,58.0,0.0,0.0,0.0,0,Heavyweight,U-DEC,,3,5:00,010986ee359fb863,300,Waldo Cortes-Acosta,193.04,117.93392,198.12,Orthodox,fc08099550072fe4,1991-10-03,Andrei Arlovski,190.5,108.86208,195.58,Orthodox,3738e68d2261e60f,1979-02-04
2024-01-13,"Las Vegas, Nevada, USA",win,Preston Parsons,Matthew Semelsberger,0.0,0.0,47.0,28.0,7.0,1.0,2.0,2,Welterweight,U-DEC,,3,5:00,010986ee359fb863,300,Preston Parsons,180.34,77.11064,180.34,Orthodox,9fe7af8b3fbe00a0,1995-07-15,Matthew Semelsberger,185.42,77.11064,190.5,Switch,4aa58269d0664b5b,1992-11-23
2024-01-13,"Las Vegas, Nevada, USA",win,Marcus McGhee,Gaston Bolanos,1.0,0.0,65.0,28.0,1.0,0.0,0.0,0,Bantamweight,KO/TKO,Punches,2,3:29,010986ee359fb863,209,Marcus McGhee,172.72,61.23492,175.26,Orthodox,c0ac37a4a1133da9,1990-05-07,Gaston Bolanos,170.18,61.23492,175.26,Orthodox,96924b0019b3aff1,1992-09-14
2024-01-13,"Las Vegas, Nevada, USA",win,Farid Basharat,Taylor Lapilus,0.0,0.0,42.0,40.0,5.0,0.0,1.0,0,Bantamweight,U-DEC,,3,5:00,010986ee359fb863,300,Farid Basharat,172.72,61.23492,180.34,Orthodox,a09ed60aa67a3f67,1997-08-02,Taylor Lapilus,167.64,61.23492,185.42,Southpaw,8b1ed83b02303075,1992-04-08
2024-01-13,"Las Vegas, Nevada, USA",win,Jean Silva,Westin Wilson,1.0,0.0,25.0,11.0,1.0,0.0,0.0,0,Featherweight,KO/TKO,Punch,1,4:12,010986ee359fb863,252,Jean Silva,170.18,65.77083999999999,175.26,Orthodox,52ef95b5860fb28c,1996-12-27,Westin Wilson,185.42,65.77083999999999,185.42,Southpaw,7b3503352cd53abb,1989-01-24
2024-01-13,"Las Vegas, Nevada, USA",win,Nikolas Motta,Tom Nolan,1.0,0.0,21.0,12.0,0.0,0.0,0.0,0,Lightweight,KO/TKO,Punches,1,1:03,010986ee359fb863,63,Nikolas Motta,175.26,70.30676,177.8,Orthodox,37f560436d745c18,1993-02-08,Tom Nolan,190.5,70.30676,185.42,Southpaw,6c3b2525436cf5d4,2000-03-08
2024-01-13,"Las Vegas, Nevada, USA",win,Joshua Van,Felipe Bunes,1.0,0.0,83.0,50.0,1.0,2.0,0.0,0,Flyweight,KO/TKO,Punches,2,4:31,010986ee359fb863,271,Joshua Van,165.1,56.699,165.1,Orthodox,17e97649403ba428,2001-10-10,Felipe Bunes,170.18,56.699,175.26,Orthodox,53c10176e3bc7416,1989-10-29
2022-11-19,"Las Vegas, Nevada, USA",win,Kennedy Nzechukwu,Ion Cutelaba,1.0,0.0,24.0,9.0,0.0,2.0,0.0,0,Light Heavyweight,KO/TKO,Knee,2,1:02,012fc7cd0779c09a,62,Kennedy Nzechukwu,195.58,92.98636,210.82,Southpaw,8667caa0451d245b,1992-06-13,Ion Cutelaba,185.42,92.98636,190.5,Southpaw,cd13728ae1151f46,1993-12-14
2022-11-19,"Las Vegas, Nevada, USA",win,Waldo Cortes-Acosta,Chase Sherman,0.0,0.0,147.0,66.0,0.0,1.0,0.0,0,Heavyweight,U-DEC,,3,5:00,012fc7cd0779c09a,300,Waldo Cortes-Acosta,193.04,117.93392,198.12,Orthodox,fc08099550072fe4,1991-10-03,Chase Sherman,193.04,113.398,198.12,Orthodox,01b352b6a9074d5c,1989-11-16
2022-11-19,"Las Vegas, Nevada, USA",win,Muslim Salikhov,Andre Fialho,0.0,0.0,56.0,17.0,1.0,0.0,0.0,0,Welterweight,KO/TKO,Kick,3,1:03,012fc7cd0779c09a,63,Muslim Salikhov,180.34,77.11064,177.8,Orthodox,447f9858ae78f921,1984-06-09,Andre Fialho,182.88,77.11064,187.96,Orthodox,33efaf2d0941cfcf,1994-04-07
2022-11-19,"Las Vegas, Nevada, USA",win,Jack Della Maddalena,Danny Roberts,2.0,0.0,33.0,5.0,0.0,0.0,0.0,0,Welterweight,KO/TKO,Punches,1,3:24,012fc7cd0779c09a,204,Jack Della Maddalena,180.34,77.11064,185.42,Switch,6b453bc35a823c3f,1996-09-10,Danny Roberts,185.42,77.11064,187.96,Southpaw,a6cba6bb66c1a8c9,1987-07-14
2022-11-19,"Las Vegas, Nevada, USA",win,Charles Johnson,Zhalgas Zhumagulov,0.0,0.0,115.0,119.0,0.0,1.0,0.0,0,Flyweight,S-DEC,,3,5:00,012fc7cd0779c09a,300,Charles Johnson,175.26,56.699,177.8,Switch,814e5233e2acf2ee,1991-01-10,Zhalgas Zhumagulov,162.56,56.699,167.64,Switch,55fa6ce3e522c8bb,1988-08-29
2022-11-19,"Las Vegas, Nevada, USA",win,Jennifer Maia,Maryna Moroz,0.0,0.0,109.0,80.0,0.0,0.0,0.0,0,Women's Flyweight,U-DEC,,3,5:00,012fc7cd0779c09a,300,Jennifer Maia,162.56,56.699,162.56,Orthodox,8e1f36476ef02a6a,1988-10-06,Maryna Moroz,170.18,56.699,170.18,Orthodox,b4192a975027aab6,1991-09-08
2022-11-19,"Las Vegas, Nevada, USA",win,Miles Johns,Vince Morales,0.0,0.0,38.0,39.0,1.0,0.0,0.0,0,Bantamweight,U-DEC,,3,5:00,012fc7cd0779c09a,300,Miles Johns,170.18,61.23492,167.64,Orthodox,46e0d677f91bacc0,1994-03-30,Vince Morales,170.18,61.23492,177.8,Orthodox,37098a6e6c27fb66,1990-11-12
2022-11-19,"Las Vegas, Nevada, USA",win,Ricky Turcios,Kevin Natividad,0.0,1.0,68.0,41.0,2.0,7.0,1.0,0,Bantamweight,S-DEC,,3,5:00,012fc7cd0779c09a,300,Ricky Turcios,175.26,61.23492,180.34,Orthodox,cd3d7e37ff2d679c,1993-06-05,Kevin Natividad,167.64,61.23492,177.8,Orthodox,0c258d1d8e16e5f1,1993-04-02
2022-11-19,"Las Vegas, Nevada, USA",win,Vanessa Demopoulos,Maria Oliveira,1.0,0.0,55.0,83.0,2.0,0.0,0.0,0,Women's Strawweight,U-DEC,,3,5:00,012fc7cd0779c09a,300,Vanessa Demopoulos,157.48,52.16308,149.86,Orthodox,2c483cf443f38ece,1988-09-22,Maria Oliveira,167.64,52.16308,175.26,Orthodox,37d752ec41ed84bb,1996-12-12
2022-11-19,"Las Vegas, Nevada, USA",win,Brady Hiestand,Fernie Garcia,0.0,0.0,19.0,21.0,3.0,1.0,1.0,1,Bantamweight,U-DEC,,3,5:00,012fc7cd0779c09a,300,Brady Hiestand,172.72,61.23492,180.34,Orthodox,7af33fc4435017f1,1999-04-30,Fernie Garcia,170.18,61.23492,170.18,Orthodox,9e92e1ca498d7244,1992-04-12
2022-11-19,"Las Vegas, Nevada, USA",win,Natalia Silva,Tereza Bleda,1.0,0.0,45.0,18.0,0.0,1.0,0.0,2,Women's Flyweight,KO/TKO,Spinning Back Kick,3,1:27,012fc7cd0779c09a,87,Natalia Silva,162.56,56.699,165.1,Southpaw,262d32ebda89efc4,1997-02-03,Tereza Bleda,175.26,56.699,180.34,Orthodox,59c438c81fbf3ece,2001-11-30
2023-02-11,"Perth, Western Australia, Australia",win,Islam Makhachev,Alexander Volkanovski,0.0,1.0,57.0,70.0,4.0,0.0,0.0,0,Lightweight,U-DEC,,5,5:00,01dd4cdc2446f665,300,Islam Makhachev,177.8,70.30676,177.8,Southpaw,275aca31f61ba28c,1991-10-27,Alexander Volkanovski,167.64,65.77083999999999,180.34,Orthodox,e1248941344b3288,1988-09-29
2023-02-11,"Perth, Western Australia, Australia",win,Yair Rodriguez,Josh Emmett,0.0,0.0,62.0,22.0,0.0,1.0,1.0,0,Featherweight,SUB,Triangle Choke,2,4:19,01dd4cdc2446f665,259,Yair Rodriguez,180.34,65.77083999999999,180.34,Orthodox,cbf5e6f231b55443,1992-10-06,Josh Emmett,167.64,65.77083999999999,177.8,Orthodox,fba03cd6cc28dc41,1985-03-04
2023-02-11,"Perth, Western Australia, Australia",win,Jack Della Maddalena,Randy Brown,1.0,0.0,14.0,11.0,0.0,0.0,1.0,0,Welterweight,SUB,Rear Naked Choke,1,2:13,01dd4cdc2446f665,133,Jack Della Maddalena,180.34,77.11064,185.42,Switch,6b453bc35a823c3f,1996-09-10,Randy Brown,190.5,77.11064,198.12,Orthodox,c6aee362c7a7d482,1990-07-08
2023-02-11,"Perth, Western Australia, Australia",win,Justin Tafa,Parker Porter,1.0,0.0,8.0,7.0,0.0,0.0,0.0,0,Heavyweight,KO/TKO,Punch,1,1:06,01dd4cdc2446f665,66,Justin Tafa,182.88,119.748288,187.96,Southpaw,e13abac8089a801a,1993-12-13,Parker Porter,182.88,120.20188,190.5,Orthodox,ac40f7e3cbecdda4,1985-04-22
2023-02-11,"Perth, Western Australia, Australia",drawdraw,Jimmy Crute,Alonzo Menifield,0.0,2.0,31.0,56.0,6.0,0.0,3.0,0,Light Heavyweight,M-DEC,,3,5:00,01dd4cdc2446f665,300,Jimmy Crute,187.96,92.98636,187.96,Orthodox,70e1f8a821b72c8b,1996-03-04,Alonzo Menifield,182.88,92.98636,193.04,Orthodox,a495f599e787614f,1987-10-18
2023-02-11,"Perth, Western Australia, Australia",win,Modestas Bukauskas,Tyson Pedro,0.0,0.0,44.0,45.0,0.0,2.0,0.0,0,Light Heavyweight,U-DEC,,3,5:00,01dd4cdc2446f665,300,Modestas Bukauskas,190.5,92.98636,198.12,Switch,476fe566d2df676e,1994-02-10,Tyson Pedro,190.5,92.98636,200.66,Orthodox,49e96ff8ab781589,1991-09-17
2023-02-11,"Perth, Western Australia, Australia",win,Josh Culibao,Melsik Baghdasaryan,0.0,0.0,16.0,26.0,0.0,0.0,1.0,0,Featherweight,SUB,Rear Naked Choke,2,2:02,01dd4cdc2446f665,122,Josh Culibao,177.8,65.77083999999999,185.42,Orthodox,6751eacd16bd59bc,1994-05-24,Melsik Baghdasaryan,175.26,65.77083999999999,177.8,Southpaw,a52bc1e62cf0b7c6,1992-01-28
2023-02-11,"Perth, Western Australia, Australia",win,Kleydson Rodrigues,Shannon Ross,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0,Flyweight,KO/TKO,Punches,1,0:59,01dd4cdc2446f665,59,Kleydson Rodrigues,165.1,61.23492,170.18,Orthodox,102a8fdf8cbf7467,1995-10-22,Shannon Ross,167.64,56.699,167.64,Switch,51c655162e462ceb,1989-05-12
2023-02-11,"Perth, Western Australia, Australia",win,Jamie Mullarkey,Francisco Prado,0.0,0.0,59.0,28.0,3.0,0.0,0.0,1,Lightweight,U-DEC,,3,5:00,01dd4cdc2446f665,300,Jamie Mullarkey,182.88,70.30676,187.96,Orthodox,af9f42e6894047fc,1994-08-17,Francisco Prado,177.8,70.30676,175.26,Orthodox,3920d0cc288f9b0d,2002-06-16
2023-02-11,"Perth, Western Australia, Australia",win,Jack Jenkins,Don Shainis,0.0,0.0,82.0,50.0,4.0,1.0,0.0,2,Featherweight,U-DEC,,3,5:00,01dd4cdc2446f665,300,Jack Jenkins,170.18,65.77083999999999,172.72,Switch,a9da3158dd2c2b5a,1993-11-03,Don Shainis,167.64,65.77083999999999,170.18,Orthodox,da4628f173337902,1990-09-16
2023-02-11,"Perth, Western Australia, Australia",win,Loma Lookboonmee,Elise Reed,0.0,0.0,17.0,17.0,2.0,0.0,1.0,0,Women's Strawweight,SUB,Rear Naked Choke,2,0:44,01dd4cdc2446f665,44,Loma Lookboonmee,154.94,52.16308,154.94,Orthodox,4e30e4250cb08b61,1996-01-18,Elise Reed,160.02,52.16308,160.02,Orthodox,ac7c765882f2c68c,1992-12-05
2023-02-11,"Perth, Western Australia, Australia",win,Blake Bilder,Shane Young,0.0,0.0,111.0,80.0,1.0,0.0,0.0,0,Featherweight,U-DEC,,3,5:00,01dd4cdc2446f665,300,Blake Bilder,172.72,65.77083999999999,172.72,Switch,5095b0920a3602aa,1990-07-12,Shane Young,172.72,65.77083999999999,182.88,Orthodox,4cd8b03aee1d0138,1993-07-31
2023-02-11,"Perth, Western Australia, Australia",win,Elves Brener,Zubaira Tukhugov,0.0,0.0,69.0,70.0,0.0,0.0,0.0,0,Lightweight,S-DEC,,3,5:00,01dd4cdc2446f665,300,Elves Brener,177.8,70.30676,182.88,Orthodox,48a9a128784d53d1,1997-09-27,Zubaira Tukhugov,172.72,70.30676,172.72,Orthodox,aceffa19749c4dc0,1991-01-15
2018-01-20,"Boston, Massachusetts, USA",win,Stipe Miocic,Francis Ngannou,0.0,0.0,70.0,21.0,6.0,0.0,0.0,1,Heavyweight,U-DEC,,5,5:00,02177caefe7c07d4,300,Stipe Miocic,193.04,108.86208,203.2,Orthodox,d28dee5c705991df,1982-08-19,Francis Ngannou,193.04,113.398,210.82,Orthodox,8d03ce87ca14e778,1986-09-05
2018-01-20,"Boston, Massachusetts, USA",win,Daniel Cormier,Volkan Oezdemir,0.0,0.0,32.0,38.0,2.0,0.0,1.0,0,Light Heavyweight,KO/TKO,Punches,2,2:00,02177caefe7c07d4,120,Daniel Cormier,180.34,106.59412,182.88,Orthodox,d967f0128c323de6,1979-03-20,,,,,,,
2018-01-20,"Boston, Massachusetts, USA",win,Calvin Kattar,Shane Burgos,1.0,0.0,85.0,89.0,0.0,0.0,0.0,0,Featherweight,KO/TKO,Punch,3,0:32,02177caefe7c07d4,32,Calvin Kattar,180.34,65.77083999999999,182.88,Orthodox,751de04455cfaac0,1988-03-26,Shane Burgos,180.34,65.77083999999999,190.5,Orthodox,98d961097baaf308,1991-03-19
2018-01-20,"Boston, Massachusetts, USA",win,Gian Villante,Francimar Barroso,0.0,0.0,74.0,74.0,0.0,0.0,0.0,0,Light Heavyweight,S-DEC,,3,5:00,02177caefe7c07d4,300,Gian Villante,190.5,104.32616,193.04,Orthodox,fcd448a2fe1a23cc,1985-08-18,Francimar Barroso,185.42,92.98636,190.5,Orthodox,b69f24c500d783e7,1980-02-28
2018-01-20,"Boston, Massachusetts, USA",win,Rob Font,Thomas Almeida,2.0,0.0,41.0,24.0,1.0,0.0,0.0,0,Bantamweight,KO/TKO,Kick,2,2:24,02177caefe7c07d4,144,Rob Font,172.72,61.23492,180.34,Orthodox,05339613bf8e9808,1987-06-25,Thomas Almeida,170.18,65.77083999999999,177.8,Southpaw,2b074403b7c6cdb4,1991-07-31
2018-01-20,"Boston, Massachusetts, USA",win,Kyle Bochniak,Brandon Davis,0.0,0.0,33.0,38.0,3.0,1.0,0.0,0,Featherweight,U-DEC,,3,5:00,02177caefe7c07d4,300,Kyle Bochniak,170.18,65.77083999999999,177.8,Orthodox,c5af5750e8bae4f0,1987-02-05,Brandon Davis,177.8,61.23492,182.88,Orthodox,cc351e408bbb7d43,1990-05-08
2018-01-20,"Boston, Massachusetts, USA",win,Abdul Razak Alhassan,Sabah Homasi,1.0,0.0,13.0,8.0,0.0,1.0,0.0,0,Welterweight,KO/TKO,Punch,1,3:47,02177caefe7c07d4,227,Abdul Razak Alhassan,177.8,83.91452,185.42,Orthodox,eae431e70064e046,1985-08-11,Sabah Homasi,182.88,77.11064,182.88,Orthodox,71f048adbfed5b49,1988-10-19
2018-01-20,"Boston, Massachusetts, USA",win,Dustin Ortiz,Alexandre Pantoja,0.0,0.0,36.0,19.0,7.0,1.0,0.0,2,Flyweight,U-DEC,,3,5:00,02177caefe7c07d4,300,Dustin Ortiz,165.1,56.699,165.1,Orthodox,f53c1f4ceeed8c08,1988-12-25,Alexandre Pantoja,165.1,56.699,170.18,Orthodox,a0f0004aadf10b71,1990-04-16
2018-01-20,"Boston, Massachusetts, USA",win,Julio Arce,Dan Ige,0.0,0.0,72.0,35.0,0.0,1.0,0.0,0,Featherweight,U-DEC,,3,5:00,02177caefe7c07d4,300,Julio Arce,170.18,65.77083999999999,177.8,Southpaw,1291edf2d566a71a,1989-10-27,Dan Ige,170.18,65.77083999999999,180.34,Orthodox,82a5152216251682,1991-08-06
2018-01-20,"Boston, Massachusetts, USA",win,Enrique Barzola,Matt Bessette,0.0,0.0,55.0,43.0,5.0,0.0,0.0,0,Featherweight,U-DEC,,3,5:00,02177caefe7c07d4,300,Enrique Barzola,170.18,65.77083999999999,177.8,Orthodox,be0b310a12eb80b4,1989-04-28,Matt Bessette,177.8,65.77083999999999,177.8,Orthodox,0b8d512c79b4baf3,1984-12-28
2018-01-20,"Boston, Massachusetts, USA",win,Islam Makhachev,Gleison Tibau,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0,Lightweight,KO/TKO,Punch,1,0:57,02177caefe7c07d4,57,Islam Makhachev,177.8,70.30676,177.8,Southpaw,275aca31f61ba28c,1991-10-27,Gleison Tibau,177.8,70.30676,180.34,Southpaw,75e5fec9f72910ef,1983-10-07
2024-07-27,"Manchester, England, United Kingdom",win,Belal Muhammad,Leon Edwards,0.0,0.0,68.0,47.0,9.0,2.0,0.0,0,Welterweight,U-DEC,,5,5:00,026b4f7049085842,300,Belal Muhammad,180.34,77.11064,182.88,Orthodox,b1b0729d27936f2f,1988-07-09,Leon Edwards,187.96,77.11064,187.96,Southpaw,f1fac969a1d70b08,1991-08-25
2024-07-27,"Manchester, England, United Kingdom",win,Tom Aspinall,Curtis Blaydes,1.0,0.0,14.0,5.0,0.0,0.0,0.0,0,Heavyweight,KO/TKO,Punch,1,1:00,026b4f7049085842,60,Tom Aspinall,195.58,116.119552,198.12,Orthodox,399afbabc02376b5,1993-04-11,Curtis Blaydes,193.04,120.20188,203.2,Orthodox,fa6796c55d6c5440,1991-02-18
2024-07-27,"Manchester, England, United Kingdom",win,Paddy Pimblett,King Green,0.0,0.0,8.0,15.0,0.0,1.0,2.0,0,Lightweight,SUB,Triangle Choke,1,3:22,026b4f7049085842,202,Paddy Pimblett,177.8,70.30676,185.42,Orthodox,7826923b47f8d72a,1995-01-03,King Green,177.8,70.30676,180.34,Orthodox,887961364be5ceb3,1986-09-09
2024-07-27,"Manchester, England, United Kingdom",win,Gregory Rodrigues,Christian Leroy Duncan,0.0,0.0,45.0,29.0,4.0,0.0,0.0,0,Middleweight,U-DEC,,3,5:00,026b4f7049085842,300,Gregory Rodrigues,190.5,83.91452,190.5,Orthodox,d1c65d2cf2925ddd,1992-02-17,Christian Leroy Duncan,187.96,83.91452,200.66,Switch,a93f94c923c3a9cb,1995-07-24
2024-07-27,"Manchester, England, United Kingdom",win,Arnold Allen,Giga Chikadze,0.0,0.0,61.0,38.0,0.0,0.0,0.0,0,Featherweight,U-DEC,,3,5:00,026b4f7049085842,300,Arnold Allen,172.72,65.77083999999999,177.8,Southpaw,040a74bb0a465c54,1994-01-22,Giga Chikadze,182.88,65.77083999999999,187.96,Orthodox,9560ff14eb3129f7,1988-08-25
2024-07-27,"Manchester, England, United Kingdom",win,Nathaniel Wood,Daniel Pineda,1.0,0.0,66.0,32.0,0.0,1.0,1.0,0,Featherweight,U-DEC,,3,5:00,026b4f7049085842,300,Nathaniel Wood,167.64,65.77083999999999,175.26,Orthodox,329e403448756217,1993-05-08,Daniel Pineda,170.18,65.77083999999999,175.26,Orthodox,361d49960a196976,1985-08-06
2024-07-27,"Manchester, England, United Kingdom",win,Bruna Brasil,Molly McCann,0.0,0.0,44.0,32.0,3.0,2.0,0.0,0,Women's Strawweight,U-DEC,,3,5:00,026b4f7049085842,300,Bruna Brasil,167.64,52.16308,165.1,Orthodox,7138a15258dabf20,1993-09-07,Molly McCann,162.56,52.16308,157.48,Orthodox,51018a31ddf31eb2,1990-05-04
2024-07-27,"Manchester, England, United Kingdom",win,Jake Hadley,Caolan Loughran,0.0,0.0,81.0,66.0,0.0,1.0,0.0,0,Bantamweight,U-DEC,,3,5:00,026b4f7049085842,300,Jake Hadley,170.18,61.23492,177.8,Southpaw,60a42bf82447c919,1996-08-03,Caolan Loughran,167.64,61.23492,172.72,Orthodox,42ac4020cba261ad,1996-05-18
2024-07-27,"Manchester, England, United Kingdom",win,Muhammad Mokaev,Manel Kape,0.0,0.0,30.0,20.0,3.0,0.0,0.0,0,Flyweight,U-DEC,,3,5:00,026b4f7049085842,300,Muhammad Mokaev,170.18,56.699,177.8,Orthodox,75353550928a7921,2000-07-30,Manel Kape,165.1,56.699,172.72,Southpaw,5d1b7e3dd9e11074,1993-11-14
